customer_id,tenure_months,monthly_spend_eur,logins_30d,content_completions_30d,support_tickets_90d,satisfaction_score,payment_delays_12m,days_since_last_activity,plan_type,acquisition_channel,region,churned
SP-00033,6,65.46,8,4,4,1.5,0,4,Enterprise,Referral,Germany,0
SP-00034,34,98.28,5,6,2,4.0,0,13,Basic,Referral,Germany,0
SP-00035,54,135.97,2,4,0,2.9,2,6,Professional,Referral,Portugal,0
SP-00036,4,34.88,14,5,2,4.3,0,3,Basic,Partner,Germany,0
SP-00037,52,86.76,10,4,1,3.7,1,7,Basic,Referral,Germany,0
SP-00038,50,47.42,8,6,2,3.9,1,7,Professional,Organic,Germany,0
SP-00039,17,182.32,10,3,1,3.4,0,10,Professional,Partner,United Kingdom,0
SP-00040,38,90.78,7,4,2,3.6,0,2,Enterprise,Organic,Germany,0
SP-00041,10,71.55,7,3,4,3.1,0,33,Enterprise,Referral,United Kingdom,0
SP-00042,46,94.12,12,7,0,3.2,1,15,Professional,Paid,United Kingdom,0
SP-00043,43,42.4,4,3,1,2.9,2,18,Basic,Organic,United Kingdom,1
SP-00044,22,51.14,8,3,0,5.0,1,13,Professional,Organic,Portugal,0
SP-00045,5,86.51,6,2,1,3.5,1,25,Basic,Partner,United Kingdom,0
SP-00046,59,27.78,6,4,0,2.0,1,9,Basic,Organic,Germany,0
SP-00047,27,114.84,9,1,1,4.0,2,12,Enterprise,Referral,Portugal,0
SP-00048,54,28.54,14,4,3,3.2,0,6,Professional,Organic,United Kingdom,0
SP-00049,41,137.99,7,3,1,3.8,2,11,Basic,Referral,Portugal,0
SP-00050,47,73.01,13,8,1,3.6,0,12,Professional,Paid,Portugal,0
SP-00051,46,117.14,12,4,1,5.0,0,6,Basic,Partner,Germany,0
SP-00052,12,99.9,6,4,1,3.5,0,15,Basic,Referral,Germany,0
SP-00053,22,171.92,8,3,1,4.5,0,15,Professional,Referral,United Kingdom,0
SP-00054,29,98.78,9,5,2,4.4,0,18,Basic,Organic,Germany,0
SP-00055,30,135.81,11,1,0,2.7,0,15,Professional,Referral,Germany,0
SP-00056,3,66.58,9,7,0,4.0,0,11,Professional,Paid,Portugal,0
SP-00057,33,42.64,5,2,2,3.2,1,20,Basic,Paid,United Kingdom,0
SP-00058,10,124.77,8,1,1,2.8,1,12,Basic,Referral,Germany,1
SP-00059,45,42.15,5,3,3,2.8,2,2,Professional,Organic,Germany,0
SP-00060,41,114.31,10,2,2,4.5,1,4,Professional,Referral,United Kingdom,1
SP-00061,56,53.07,4,2,0,5.0,0,6,Enterprise,Paid,Portugal,0
SP-00062,45,94.6,7,3,2,3.2,0,7,Enterprise,Referral,Portugal,0
SP-00063,22,173.34,17,4,1,4.0,0,15,Basic,Referral,Germany,0
SP-00064,59,110.58,8,4,0,4.0,0,25,Professional,Paid,Germany,0
SP-00065,25,77.3,11,4,1,3.4,1,16,Basic,Organic,Portugal,1
SP-00066,20,100.87,13,7,0,4.9,1,14,Basic,Paid,Portugal,0
SP-00067,55,67.57,7,3,1,5.0,0,2,Basic,Organic,Germany,0
SP-00068,23,202.55,10,3,0,3.3,0,1,Basic,Organic,Germany,0
SP-00069,5,61.77,11,5,0,5.0,2,28,Professional,Organic,United Kingdom,1
SP-00070,29,80.81,1,4,1,3.4,2,8,Professional,Paid,Germany,1
SP-00071,48,106.46,15,3,0,3.0,1,15,Basic,Partner,United Kingdom,0
SP-00072,12,97.84,2,4,1,3.7,0,16,Enterprise,Organic,Germany,0
SP-00073,28,102.44,3,0,2,4.5,0,41,Professional,Referral,Portugal,1
SP-00074,8,68.15,5,2,1,3.7,1,33,Professional,Partner,Germany,0
SP-00075,42,75.99,11,2,1,4.4,0,46,Basic,Partner,Germany,0
SP-00076,29,122.33,5,3,3,4.0,0,18,Basic,Referral,Germany,0
SP-00077,20,119.79,10,3,1,4.9,0,30,Basic,Paid,Germany,0
SP-00078,14,98.81,7,6,0,4.2,3,5,Basic,Organic,United Kingdom,1
SP-00079,34,143.01,5,5,2,5.0,1,41,Enterprise,Paid,Germany,1
SP-00080,41,124.39,9,3,1,3.1,2,20,Basic,Paid,Germany,0
SP-00081,57,118.26,11,4,2,3.6,0,9,Basic,Referral,United Kingdom,0
SP-00082,27,41.84,11,0,0,3.8,2,21,Basic,Organic,United Kingdom,0
SP-00083,10,98.32,4,3,1,3.1,1,26,Professional,Organic,United Kingdom,1
SP-00084,50,91.06,4,4,0,3.0,0,17,Enterprise,Organic,Germany,0
SP-00085,38,150.87,12,2,1,4.1,1,1,Basic,Organic,Portugal,0
SP-00086,43,24.45,7,3,4,4.3,2,27,Professional,Partner,Portugal,0
SP-00087,6,78.93,9,7,1,3.9,0,11,Basic,Organic,Germany,0
SP-00088,19,87.99,9,3,0,4.6,0,17,Basic,Organic,United Kingdom,0
SP-00089,47,52.79,14,2,2,2.9,1,5,Professional,Paid,Portugal,0
SP-00090,50,56.96,7,4,1,3.5,0,10,Professional,Organic,Portugal,0
SP-00091,27,151.08,5,4,0,2.9,1,8,Basic,Referral,Portugal,0
SP-00092,49,102.28,8,6,2,3.9,2,5,Basic,Organic,Germany,0
SP-00093,51,173.52,7,2,0,4.2,0,2,Professional,Partner,Germany,0
SP-00094,24,78.34,9,10,1,4.9,0,10,Professional,Partner,Portugal,0
SP-00095,54,45.68,7,1,1,2.9,0,6,Professional,Referral,Germany,1
SP-00096,18,73.75,9,7,0,4.1,0,14,Basic,Organic,United Kingdom,0
SP-00097,15,68.61,5,5,2,4.9,0,15,Professional,Paid,Germany,0
SP-00098,41,112.2,6,4,1,3.0,0,34,Enterprise,Paid,Germany,0
SP-00099,39,110.31,13,3,0,2.8,1,8,Enterprise,Organic,Germany,0
SP-00100,9,104.39,11,4,0,2.6,0,26,Basic,Referral,Germany,0
SP-00101,50,197.11,5,6,1,4.3,0,15,Basic,Organic,Germany,0
SP-00102,12,139.45,7,3,2,3.2,0,16,Professional,Organic,United Kingdom,0
SP-00103,49,58.59,9,2,2,4.2,1,13,Basic,Referral,United Kingdom,0
SP-00104,1,126.12,9,7,1,3.6,1,23,Professional,Referral,United Kingdom,0
SP-00105,48,85.6,12,0,0,5.0,2,13,Basic,Referral,Portugal,0
SP-00106,48,77.45,7,4,1,4.4,3,13,Basic,Referral,Germany,0
SP-00107,47,146.91,6,4,2,3.2,2,5,Professional,Organic,United Kingdom,0
SP-00108,40,57.07,10,5,1,3.6,1,6,Basic,Organic,Germany,0
SP-00109,29,122.56,10,2,0,4.4,0,15,Basic,Organic,Germany,0
SP-00110,43,114.46,6,4,0,2.9,0,9,Professional,Referral,Germany,0
SP-00111,17,56.62,8,4,2,4.7,1,3,Basic,Organic,Portugal,0
SP-00112,47,41.28,10,6,1,3.6,1,8,Basic,Paid,Germany,0
SP-00113,34,81.69,9,4,1,4.4,0,21,Basic,Paid,Germany,0
SP-00114,28,23.65,6,1,2,3.6,1,14,Basic,Partner,Germany,1
SP-00115,31,132.29,3,2,2,3.4,2,7,Basic,Partner,Germany,0
SP-00116,35,98.16,11,4,0,3.3,0,12,Basic,Referral,Germany,1
SP-00117,3,148.95,7,4,0,5.0,0,22,Basic,Partner,Germany,0
SP-00118,9,95.38,7,2,1,3.6,1,5,Enterprise,Partner,United Kingdom,0
SP-00119,15,153.25,7,2,1,5.0,0,5,Professional,Organic,United Kingdom,0
SP-00120,7,65.64,6,1,0,3.9,0,13,Professional,Referral,United Kingdom,0
SP-00121,27,104.25,8,5,2,3.1,2,8,Professional,Organic,Portugal,0
SP-00122,41,71.53,7,7,1,2.5,0,13,Professional,Partner,Portugal,1
SP-00123,40,80.64,10,3,2,4.8,0,12,Professional,Referral,Germany,0
SP-00124,29,87.86,4,2,1,3.6,0,13,Enterprise,Organic,Germany,0
SP-00125,52,98.03,9,6,0,4.5,1,34,Professional,Paid,Portugal,0
SP-00126,34,61.97,9,3,0,5.0,1,4,Professional,Partner,United Kingdom,0
SP-00127,5,102.17,5,1,0,4.3,0,19,Basic,Paid,Germany,0
SP-00128,46,86.03,8,3,2,4.1,0,16,Professional,Referral,Germany,0
SP-00129,35,46.7,12,7,0,4.8,1,18,Basic,Organic,Portugal,0
SP-00130,39,38.91,4,5,0,4.4,1,2,Professional,Paid,Portugal,0
SP-00131,34,132.5,7,3,2,2.8,0,20,Professional,Paid,Germany,0
SP-00132,34,31.33,4,4,2,4.9,1,10,Basic,Referral,Germany,0
SP-00133,6,79.0,11,6,2,3.8,0,13,Basic,Paid,United Kingdom,0
SP-00134,34,44.72,3,3,2,5.0,1,11,Enterprise,Organic,Germany,0
SP-00135,48,164.12,12,8,3,4.2,0,6,Basic,Referral,Portugal,0
SP-00136,19,106.5,9,3,1,4.8,1,10,Professional,Organic,Germany,0
SP-00137,37,96.94,4,4,3,3.6,2,12,Basic,Partner,Germany,0
SP-00138,2,59.7,4,3,2,2.6,0,17,Professional,Referral,United Kingdom,1
SP-00139,21,46.44,13,4,2,4.3,1,15,Enterprise,Organic,Portugal,0
SP-00140,27,91.12,15,3,1,4.6,0,11,Professional,Organic,United Kingdom,0
SP-00141,59,83.8,10,0,2,3.4,0,12,Basic,Partner,United Kingdom,0
SP-00142,13,53.14,7,3,0,3.6,3,12,Professional,Partner,United Kingdom,0
SP-00143,17,52.38,3,4,3,2.0,0,17,Basic,Paid,Portugal,1
SP-00144,25,51.31,9,5,2,3.7,0,20,Basic,Referral,Germany,0
SP-00145,60,50.6,7,3,0,2.8,2,21,Professional,Paid,United Kingdom,0
SP-00146,52,64.75,10,7,2,4.2,0,9,Enterprise,Paid,United Kingdom,0
SP-00147,3,96.96,11,8,2,4.1,1,10,Professional,Organic,Portugal,0
SP-00148,15,103.79,12,2,0,3.8,0,9,Professional,Organic,Germany,0
SP-00149,50,83.08,4,2,1,4.9,2,12,Basic,Referral,Portugal,0
SP-00150,4,89.39,8,11,0,4.0,2,41,Basic,Referral,United Kingdom,0
SP-00151,52,105.86,9,4,2,4.0,1,9,Basic,Referral,Germany,0
SP-00152,17,35.14,7,2,0,4.1,1,18,Enterprise,Organic,Portugal,0
SP-00153,56,92.31,5,2,4,3.3,2,18,Basic,Paid,Germany,1
SP-00154,18,142.13,9,3,2,4.6,1,15,Professional,Paid,Portugal,1
SP-00155,27,78.14,10,1,3,3.1,0,2,Basic,Partner,United Kingdom,0
SP-00156,40,130.2,8,0,1,4.1,0,11,Basic,Referral,United Kingdom,0
SP-00157,8,78.74,7,1,0,4.8,1,16,Basic,Organic,Portugal,0
SP-00158,34,108.81,6,3,2,3.0,1,7,Enterprise,Organic,Portugal,0
SP-00159,31,96.14,10,6,1,2.7,0,3,Basic,Referral,Portugal,0
SP-00160,48,50.98,12,7,4,3.0,0,17,Basic,Organic,Germany,0
SP-00161,60,55.86,9,2,3,5.0,1,20,Basic,Partner,United Kingdom,0
SP-00162,40,153.25,6,4,2,3.3,2,11,Basic,Referral,United Kingdom,0
SP-00163,25,118.76,11,3,1,2.8,2,8,Basic,Paid,Germany,0
SP-00164,25,80.95,9,4,1,4.1,0,28,Enterprise,Referral,Germany,0
SP-00165,26,76.56,8,2,3,1.6,0,21,Enterprise,Organic,Portugal,1
SP-00166,49,59.86,9,3,3,3.0,3,5,Professional,Paid,United Kingdom,0
SP-00167,20,99.56,7,6,3,4.9,1,13,Professional,Referral,Germany,0
SP-00168,11,61.98,5,5,1,3.0,0,6,Basic,Referral,Portugal,0
SP-00169,21,72.45,3,4,2,3.6,0,9,Enterprise,Paid,United Kingdom,0
SP-00170,2,64.64,8,3,0,4.0,1,26,Basic,Organic,Portugal,0
SP-00171,7,115.64,5,2,1,4.0,0,26,Basic,Paid,Germany,0
SP-00172,6,79.57,9,4,1,3.4,0,8,Basic,Paid,Portugal,0
SP-00173,47,89.67,13,2,1,4.2,3,18,Enterprise,Partner,Germany,0
SP-00174,44,51.39,13,3,2,5.0,0,5,Basic,Paid,Germany,0
SP-00175,42,64.46,3,3,4,3.0,1,40,Basic,Organic,Germany,1
SP-00176,28,90.5,6,3,3,3.4,0,2,Basic,Paid,United Kingdom,0
SP-00177,44,42.18,8,6,0,3.7,0,9,Basic,Paid,Germany,0
SP-00178,10,77.1,11,5,3,4.4,1,18,Professional,Organic,United Kingdom,0
SP-00179,55,84.14,6,4,2,3.8,0,6,Professional,Paid,United Kingdom,0
SP-00180,31,48.8,6,4,0,3.7,0,5,Professional,Referral,United Kingdom,0
SP-00181,57,127.73,13,4,1,2.6,1,12,Professional,Paid,Germany,0
SP-00182,10,97.57,10,5,0,2.9,1,7,Professional,Organic,Germany,0
SP-00183,30,79.32,7,2,1,4.0,1,2,Professional,Organic,United Kingdom,0
SP-00184,42,62.56,9,4,2,3.4,2,12,Enterprise,Referral,United Kingdom,0
SP-00185,30,41.55,9,4,0,3.5,1,17,Basic,Organic,Germany,0
SP-00186,27,123.59,9,4,1,3.8,2,10,Basic,Partner,United Kingdom,0
SP-00187,10,69.69,9,4,1,5.0,1,11,Professional,Paid,Germany,0
SP-00188,23,45.67,16,6,1,3.4,1,15,Professional,Organic,Germany,1
SP-00189,15,61.84,8,0,2,4.9,1,33,Enterprise,Referral,Portugal,1
SP-00190,19,101.88,5,2,2,4.9,0,9,Basic,Partner,Germany,0
SP-00191,42,93.39,7,5,1,4.4,2,15,Professional,Referral,Germany,0
SP-00192,38,53.24,6,2,0,3.1,3,11,Professional,Referral,Germany,0
SP-00193,37,132.88,6,6,1,3.9,1,5,Professional,Referral,Germany,0
SP-00194,22,45.43,6,8,1,3.5,2,19,Basic,Organic,Portugal,0
SP-00195,58,144.59,10,2,1,5.0,0,27,Enterprise,Referral,United Kingdom,0
SP-00196,6,91.74,10,1,2,4.1,1,17,Basic,Organic,Portugal,0
SP-00197,21,71.88,9,2,1,3.6,0,1,Basic,Paid,United Kingdom,0
SP-00198,8,76.04,8,2,0,5.0,0,9,Professional,Organic,Germany,0
SP-00199,21,87.42,10,8,0,3.5,1,17,Basic,Referral,United Kingdom,0
SP-00200,58,105.18,7,5,2,4.2,0,23,Basic,Partner,Germany,0
SP-00201,22,38.75,11,2,2,4.4,2,3,Enterprise,Referral,Germany,0
SP-00202,55,61.01,6,2,0,4.1,0,5,Professional,Organic,Germany,0
SP-00203,30,86.26,12,3,1,3.7,1,15,Enterprise,Referral,Germany,0
SP-00204,42,135.05,5,3,3,4.5,1,13,Basic,Organic,Germany,0
SP-00205,28,132.85,11,3,2,3.3,2,12,Basic,Paid,Germany,0
SP-00206,16,157.44,10,5,2,4.7,0,32,Basic,Paid,Portugal,1
SP-00207,46,130.15,8,4,3,3.6,0,33,Basic,Organic,United Kingdom,0
SP-00208,59,59.14,10,4,0,4.9,0,6,Basic,Referral,Germany,0
SP-00209,16,84.0,4,3,0,4.6,1,2,Enterprise,Referral,United Kingdom,0
SP-00210,47,130.48,9,3,1,4.2,0,11,Basic,Partner,Germany,0
SP-00211,16,125.07,12,2,1,3.7,0,19,Professional,Organic,Germany,0
SP-00212,44,77.63,9,0,1,4.7,0,24,Professional,Referral,United Kingdom,0
SP-00213,48,103.97,8,3,2,4.3,1,9,Basic,Partner,Germany,0
SP-00214,27,69.53,4,5,1,1.2,0,7,Basic,Organic,Germany,0
SP-00215,45,44.02,9,3,2,3.1,0,16,Professional,Paid,Germany,1
SP-00216,17,80.47,6,1,1,3.9,0,10,Basic,Paid,United Kingdom,0
SP-00217,5,78.47,6,4,1,4.0,0,12,Basic,Organic,United Kingdom,0
SP-00218,6,68.16,9,4,0,4.4,0,17,Professional,Partner,United Kingdom,0
SP-00219,27,105.36,8,1,0,5.0,0,10,Basic,Paid,Germany,0
SP-00220,55,76.56,6,2,3,4.3,0,4,Basic,Referral,Germany,0
SP-00221,8,99.28,8,2,3,2.1,1,7,Professional,Referral,Germany,0
SP-00222,28,114.75,8,3,2,4.0,2,7,Basic,Referral,Portugal,0
SP-00223,43,207.88,8,6,0,4.8,0,7,Professional,Organic,United Kingdom,0
SP-00224,13,81.03,8,6,1,3.9,1,2,Basic,Partner,Germany,0
SP-00225,44,135.86,9,3,2,4.0,0,37,Professional,Referral,Germany,0
SP-00226,19,92.83,15,3,2,3.4,1,5,Professional,Referral,Germany,1
SP-00227,49,95.06,8,4,1,4.6,0,19,Enterprise,Partner,Portugal,0
SP-00228,35,81.49,10,3,1,3.5,4,6,Professional,Referral,Portugal,0
SP-00229,33,89.49,10,4,1,4.3,0,9,Professional,Organic,Germany,0
SP-00230,11,76.86,6,5,3,4.1,0,12,Professional,Organic,United Kingdom,0
SP-00231,28,125.78,6,5,2,3.8,0,8,Basic,Partner,Germany,0
SP-00232,52,61.94,16,1,1,4.2,1,30,Basic,Referral,Germany,0
SP-00233,2,43.85,5,5,1,4.0,0,70,Professional,Referral,United Kingdom,1
SP-00234,46,67.25,8,1,0,4.8,1,2,Professional,Referral,United Kingdom,0
SP-00235,30,64.33,11,3,0,4.3,0,23,Enterprise,Referral,United Kingdom,0
SP-00236,44,67.23,5,8,1,4.6,1,13,Professional,Referral,Germany,0
SP-00237,40,79.71,11,3,0,3.2,1,9,Basic,Partner,United Kingdom,0
SP-00238,26,67.33,10,3,0,3.1,0,21,Basic,Organic,Germany,0
SP-00239,19,79.25,6,3,0,3.9,0,25,Basic,Organic,United Kingdom,0
SP-00240,38,67.42,5,0,4,4.4,0,11,Enterprise,Partner,Germany,1
SP-00241,9,100.15,13,0,0,4.2,0,27,Basic,Organic,Germany,0
SP-00242,36,207.02,9,1,2,3.2,1,2,Professional,Partner,United Kingdom,0
SP-00243,6,92.06,11,4,1,4.4,0,19,Basic,Paid,Portugal,0
SP-00244,39,68.56,5,2,1,3.3,0,12,Enterprise,Paid,Germany,0
SP-00245,38,30.47,7,3,1,4.3,1,14,Professional,Organic,United Kingdom,0
SP-00246,6,176.02,9,2,3,4.0,0,23,Enterprise,Organic,United Kingdom,0
SP-00247,46,94.21,8,3,3,3.6,2,17,Professional,Organic,United Kingdom,0
SP-00248,25,78.96,7,5,1,3.4,0,37,Basic,Referral,Germany,1
SP-00249,48,31.13,7,7,3,3.9,1,41,Professional,Paid,United Kingdom,1
SP-00250,3,80.67,6,6,1,3.9,1,10,Basic,Referral,Germany,1
SP-00251,11,89.18,5,1,2,3.0,0,4,Basic,Organic,Germany,0
SP-00252,30,67.52,7,1,1,4.3,1,12,Basic,Organic,Germany,0
SP-00253,12,47.16,8,7,1,4.7,0,6,Basic,Referral,United Kingdom,0
SP-00254,20,45.92,9,5,0,4.5,2,8,Professional,Organic,Germany,0
SP-00255,40,177.26,7,4,0,4.1,1,13,Professional,Paid,Portugal,0
SP-00256,9,88.11,11,5,2,3.4,1,3,Enterprise,Organic,United Kingdom,0
SP-00257,41,67.5,5,7,1,3.9,0,17,Basic,Referral,Germany,0
SP-00258,7,85.94,5,1,0,3.7,0,11,Professional,Paid,Germany,0
SP-00259,11,83.51,6,3,0,3.9,1,7,Professional,Referral,Germany,0
SP-00260,36,45.02,2,3,1,4.5,1,1,Basic,Partner,United Kingdom,0
SP-00261,48,122.25,5,1,0,3.7,2,22,Basic,Paid,United Kingdom,1
SP-00262,11,78.1,2,2,4,2.3,1,25,Enterprise,Organic,Germany,1
SP-00263,18,88.62,10,0,1,4.4,1,23,Basic,Organic,Germany,0
SP-00264,56,151.08,8,1,0,4.1,0,6,Basic,Partner,Germany,1
SP-00265,60,47.73,6,4,1,3.9,1,16,Professional,Paid,Germany,1
SP-00266,35,60.62,11,4,3,2.9,0,25,Basic,Partner,Germany,1
SP-00267,27,96.31,5,2,1,3.1,0,15,Basic,Organic,Portugal,0
SP-00268,21,121.23,9,4,1,3.2,3,14,Basic,Partner,Portugal,0
SP-00269,37,64.91,10,4,0,3.3,2,34,Basic,Partner,United Kingdom,0
SP-00270,36,66.44,13,7,1,3.4,2,33,Basic,Organic,Germany,0
SP-00271,18,109.31,5,4,0,2.9,1,8,Basic,Organic,Portugal,0
SP-00272,2,199.67,16,6,3,5.0,0,7,Enterprise,Referral,Germany,0
SP-00273,10,87.12,11,5,3,5.0,2,6,Professional,Referral,Germany,0
SP-00274,58,60.55,7,3,0,4.0,1,2,Basic,Organic,United Kingdom,0
SP-00275,26,53.49,10,6,1,3.8,1,30,Basic,Organic,Germany,1
SP-00276,29,79.62,8,3,3,5.0,0,15,Enterprise,Partner,Germany,0
SP-00277,29,118.86,6,5,1,5.0,1,9,Professional,Organic,United Kingdom,0
SP-00278,47,238.93,6,1,2,3.2,1,13,Professional,Partner,Germany,0
SP-00279,4,74.16,8,0,1,4.0,1,31,Professional,Organic,Germany,1
SP-00280,5,87.18,5,4,3,3.7,1,3,Basic,Paid,United Kingdom,0
SP-00281,17,164.14,8,5,2,3.6,3,29,Basic,Organic,Portugal,1
SP-00282,30,95.65,9,1,1,3.7,1,12,Basic,Organic,Germany,0
SP-00283,41,92.33,8,5,1,3.7,0,16,Basic,Paid,Germany,0
SP-00284,30,150.25,6,4,0,4.0,0,17,Enterprise,Organic,Germany,0
SP-00285,27,88.03,11,4,2,4.0,2,33,Basic,Organic,United Kingdom,0
SP-00286,57,55.27,4,4,3,5.0,1,6,Basic,Referral,United Kingdom,0
SP-00287,10,136.96,7,4,1,3.2,0,46,Enterprise,Paid,Portugal,0
SP-00288,35,42.09,8,2,0,4.6,1,4,Enterprise,Paid,United Kingdom,0
SP-00289,33,127.09,8,0,2,2.9,1,7,Basic,Organic,Portugal,1
SP-00290,29,84.32,7,1,1,4.0,0,19,Basic,Partner,Germany,0
SP-00291,49,74.49,10,2,0,4.6,1,30,Professional,Organic,United Kingdom,0
SP-00292,17,73.7,5,5,0,4.3,2,6,Basic,Paid,Portugal,0
SP-00293,58,79.49,10,3,1,3.5,1,3,Enterprise,Paid,Germany,0
SP-00294,20,70.07,4,5,1,4.0,1,31,Basic,Organic,Germany,0
SP-00295,33,101.46,10,3,4,5.0,0,9,Basic,Referral,United Kingdom,0
SP-00296,32,71.08,9,4,1,3.3,1,9,Professional,Referral,United Kingdom,0
SP-00297,51,36.35,9,5,0,4.3,0,13,Professional,Paid,United Kingdom,0
SP-00298,27,84.58,5,2,1,4.6,2,11,Enterprise,Paid,Portugal,0
SP-00299,18,35.51,12,2,1,3.5,2,19,Professional,Referral,Germany,1
SP-00300,2,84.35,11,4,0,5.0,0,4,Basic,Paid,Portugal,0
SP-00301,22,69.49,7,9,1,5.0,3,3,Professional,Organic,Portugal,0
SP-00302,50,123.1,5,3,1,4.7,0,16,Basic,Paid,Germany,0
SP-00303,1,75.77,7,4,2,4.7,0,17,Basic,Referral,Germany,0
SP-00304,54,115.53,9,4,1,2.4,1,19,Basic,Partner,United Kingdom,0
SP-00305,33,110.0,12,1,0,2.7,1,19,Basic,Partner,Germany,1
SP-00306,9,111.28,12,3,2,3.7,1,3,Basic,Organic,United Kingdom,0
SP-00307,19,155.64,5,7,0,3.3,1,18,Professional,Paid,United Kingdom,0
SP-00308,34,76.89,9,2,5,4.3,2,18,Basic,Paid,Portugal,0
SP-00309,19,86.65,7,3,2,1.5,0,4,Professional,Paid,Germany,0
SP-00310,7,100.33,10,3,1,4.3,1,25,Basic,Organic,United Kingdom,0
SP-00311,40,87.76,6,8,0,3.7,2,6,Professional,Paid,Portugal,0
SP-00312,41,75.84,8,2,2,3.4,0,5,Professional,Organic,Germany,0
SP-00313,8,57.34,12,2,0,5.0,0,20,Basic,Partner,Germany,0
SP-00314,17,84.99,7,1,1,3.6,1,5,Enterprise,Referral,Germany,0
SP-00315,15,43.92,7,2,1,2.5,1,10,Professional,Organic,Germany,0
SP-00316,40,34.52,5,4,3,4.2,0,9,Enterprise,Paid,Germany,0
SP-00317,44,52.05,9,3,0,4.1,0,8,Enterprise,Referral,Germany,0
SP-00318,44,110.73,10,2,0,3.7,1,6,Basic,Organic,United Kingdom,0
SP-00319,57,93.11,7,4,2,5.0,0,42,Enterprise,Paid,United Kingdom,1
SP-00320,47,111.2,11,1,0,4.0,0,19,Professional,Organic,Germany,0
SP-00321,20,62.87,10,4,3,4.6,0,7,Basic,Organic,Germany,1
SP-00322,7,128.47,10,4,1,4.1,0,7,Professional,Paid,United Kingdom,0
SP-00323,37,45.94,10,4,0,4.8,2,15,Basic,Referral,United Kingdom,0
SP-00324,55,52.84,5,6,2,3.5,1,9,Professional,Organic,United Kingdom,0
SP-00325,59,127.5,7,4,1,2.9,0,16,Basic,Organic,Germany,0
SP-00326,14,90.31,7,4,3,4.4,0,5,Professional,Referral,Germany,0
SP-00327,15,111.48,8,6,3,4.0,1,13,Enterprise,Referral,United Kingdom,0
SP-00328,3,93.28,7,3,3,4.4,0,21,Basic,Referral,Portugal,0
SP-00329,9,66.55,5,5,3,3.3,0,13,Professional,Partner,United Kingdom,1
SP-00330,34,50.31,7,1,2,4.2,1,10,Basic,Organic,Germany,0
SP-00331,33,37.87,7,5,1,2.5,0,17,Enterprise,Partner,Germany,0
SP-00332,23,170.27,10,0,0,3.4,1,2,Basic,Referral,United Kingdom,1
