customer_id,tenure_months,monthly_spend_eur,logins_30d,content_completions_30d,support_tickets_90d,satisfaction_score,payment_delays_12m,days_since_last_activity,plan_type,acquisition_channel,region,churned,churn_probability,risk_band,recommended_action
SP-01762,25,120.09,6,1,2,3.7,1,29,Professional,Organic,Portugal,0,0.8108981176640688,Critical,Urgent retention call and tailored offer
SP-00566,15,152.45,3,5,1,2.6,1,22,Professional,Organic,Germany,0,0.8107098103869228,Critical,Urgent retention call and tailored offer
SP-00366,32,38.3,3,2,0,2.1,0,21,Professional,Organic,Germany,0,0.8107025050226893,Critical,Urgent retention call and tailored offer
SP-00735,13,62.92,6,2,1,3.4,2,24,Enterprise,Partner,Germany,0,0.8093151206258326,Critical,Urgent retention call and tailored offer
SP-02497,49,36.02,10,6,2,3.3,2,33,Basic,Organic,Portugal,0,0.8090387458120161,Critical,Urgent retention call and tailored offer
SP-01252,25,75.21,7,3,1,2.2,1,18,Professional,Referral,Germany,1,0.8077226960981839,Critical,Urgent retention call and tailored offer
SP-02214,7,115.61,5,3,1,3.9,3,21,Basic,Organic,Portugal,1,0.807448596096898,Critical,Urgent retention call and tailored offer
SP-00335,28,88.25,7,7,3,3.4,2,23,Professional,Organic,Germany,1,0.8071191084083014,Critical,Urgent retention call and tailored offer
SP-00977,6,64.89,9,1,1,1.9,0,16,Basic,Paid,Portugal,0,0.8063483859106167,Critical,Urgent retention call and tailored offer
SP-02039,60,43.72,9,4,2,3.3,1,35,Basic,Referral,Germany,0,0.8059764193656757,Critical,Urgent retention call and tailored offer
SP-00153,56,92.31,5,2,4,3.3,2,18,Basic,Paid,Germany,1,0.8048816687300885,Critical,Urgent retention call and tailored offer
SP-01302,25,99.88,11,2,1,2.8,0,34,Basic,Organic,Portugal,1,0.8046589243819384,Critical,Urgent retention call and tailored offer
SP-02263,2,99.05,5,4,2,4.1,2,23,Basic,Paid,Portugal,0,0.8040527290392354,Critical,Urgent retention call and tailored offer
SP-01975,34,78.35,5,4,2,3.2,3,16,Professional,Organic,Germany,1,0.8028593118858252,Critical,Urgent retention call and tailored offer
SP-02348,46,132.85,4,6,3,1.9,2,10,Basic,Partner,Germany,0,0.8020048508841787,Critical,Urgent retention call and tailored offer
SP-00057,33,42.64,5,2,2,3.2,1,20,Basic,Paid,United Kingdom,0,0.8010991744545903,Critical,Urgent retention call and tailored offer
SP-02442,1,116.72,7,5,4,3.0,0,12,Basic,Organic,United Kingdom,1,0.7983605101505189,High,Escalate unresolved service issues
SP-02048,32,95.71,8,0,2,3.4,1,24,Professional,Referral,United Kingdom,0,0.7980711042581108,High,Send re-engagement journey
SP-00294,20,70.07,4,5,1,4.0,1,31,Basic,Organic,Germany,0,0.7974374330880415,High,Send re-engagement journey
SP-01133,48,131.02,8,0,1,2.0,2,19,Professional,Organic,Germany,0,0.7969978334647753,High,Offer billing support or flexible payment plan
SP-01374,26,85.52,3,3,0,3.2,1,27,Basic,Organic,Germany,0,0.796876081556378,High,Send re-engagement journey
SP-02298,30,50.54,15,3,1,2.7,1,31,Basic,Organic,Germany,1,0.796362003027417,High,Send re-engagement journey
SP-00269,37,64.91,10,4,0,3.3,2,34,Basic,Partner,United Kingdom,0,0.7953168794443839,High,Offer billing support or flexible payment plan
SP-00485,28,80.38,9,3,1,2.6,3,21,Enterprise,Organic,United Kingdom,0,0.7952286241744329,High,Offer billing support or flexible payment plan
SP-02462,13,89.89,2,0,2,4.3,4,7,Professional,Organic,Germany,1,0.7945396673531754,High,Offer billing support or flexible payment plan
SP-00043,43,42.4,4,3,1,2.9,2,18,Basic,Organic,United Kingdom,1,0.7939061656642941,High,Offer billing support or flexible payment plan
SP-01561,18,56.52,7,2,2,5.0,2,30,Professional,Partner,Germany,1,0.7936639026904401,High,Offer billing support or flexible payment plan
SP-00899,5,114.2,13,3,2,5.0,1,41,Basic,Referral,Germany,0,0.7925349005778674,High,Send re-engagement journey
SP-01701,16,120.1,10,4,1,3.0,1,28,Basic,Referral,Germany,0,0.7923874035606754,High,Send re-engagement journey
SP-00731,44,98.35,9,1,0,3.0,3,27,Professional,Referral,Germany,0,0.7923757664824913,High,Offer billing support or flexible payment plan
SP-00932,42,39.65,4,2,1,3.5,2,24,Basic,Organic,Portugal,0,0.792354243884316,High,Offer billing support or flexible payment plan
SP-02021,19,42.19,6,3,1,3.2,1,23,Professional,Paid,United Kingdom,1,0.790861160590961,High,Send re-engagement journey
SP-02302,9,132.58,4,4,3,3.1,1,12,Professional,Referral,Germany,1,0.7908284106115672,High,Escalate unresolved service issues
SP-02312,5,175.35,4,5,1,2.4,1,18,Basic,Paid,United Kingdom,0,0.7897764208880994,High,Proactive account-manager outreach
SP-00954,26,91.37,7,4,2,4.1,1,33,Professional,Organic,Germany,0,0.7894177400982554,High,Send re-engagement journey
SP-01085,13,92.9,4,5,0,2.9,0,30,Basic,Paid,Germany,1,0.7892436040676742,High,Send re-engagement journey
SP-02215,7,80.87,5,1,1,2.3,1,8,Professional,Organic,Germany,1,0.7891499119902388,High,Proactive account-manager outreach
SP-00848,4,105.68,7,0,1,4.3,3,18,Basic,Referral,Germany,0,0.7878110396300341,High,Offer billing support or flexible payment plan
SP-01279,1,95.89,12,3,0,3.0,1,28,Basic,Organic,Germany,0,0.7865066528458255,High,Send re-engagement journey
SP-01319,27,95.61,8,6,0,2.3,1,30,Basic,Paid,Germany,0,0.7858737438737452,High,Send re-engagement journey
SP-01697,29,78.42,8,3,2,3.8,2,27,Professional,Organic,Portugal,0,0.7853507721472138,High,Offer billing support or flexible payment plan
SP-02339,3,69.34,4,2,3,4.3,1,21,Enterprise,Organic,Germany,0,0.7843325092469454,High,Escalate unresolved service issues
SP-00982,43,91.06,3,2,2,3.4,2,20,Basic,Paid,Germany,1,0.7826929024369642,High,Offer billing support or flexible payment plan
SP-00266,35,60.62,11,4,3,2.9,0,25,Basic,Partner,Germany,1,0.7826781892799028,High,Escalate unresolved service issues
SP-00498,23,141.06,10,6,1,3.3,0,41,Basic,Organic,Germany,1,0.7824568262106477,High,Send re-engagement journey
SP-02100,15,75.55,10,2,1,3.5,0,31,Basic,Partner,Germany,0,0.7811815848204319,High,Send re-engagement journey
SP-01800,32,22.35,8,0,3,4.2,1,21,Basic,Partner,Germany,1,0.780952647749847,High,Escalate unresolved service issues
SP-00475,39,108.28,11,3,4,3.9,1,28,Basic,Partner,Germany,0,0.780919622864956,High,Escalate unresolved service issues
SP-02219,18,68.81,10,3,3,4.6,2,27,Basic,Organic,Portugal,1,0.7801195769117797,High,Offer billing support or flexible payment plan
SP-02243,28,85.6,6,1,1,2.9,1,19,Basic,Organic,United Kingdom,0,0.7783499771797825,High,Proactive account-manager outreach
SP-01809,6,66.36,2,1,3,4.0,1,10,Basic,Paid,Germany,0,0.7776704947807378,High,Escalate unresolved service issues
SP-01808,29,180.65,15,2,1,3.2,0,44,Basic,Referral,Germany,0,0.7774543979825759,High,Send re-engagement journey
SP-01779,19,119.99,8,2,4,3.5,0,19,Professional,Referral,Germany,0,0.7774281349514929,High,Escalate unresolved service issues
SP-02134,24,61.95,4,5,1,2.4,0,18,Basic,Referral,United Kingdom,0,0.7770210655938653,High,Proactive account-manager outreach
SP-01225,26,97.66,8,0,0,3.7,1,41,Enterprise,Organic,Portugal,0,0.7763483693795725,High,Send re-engagement journey
SP-01021,4,124.7,4,2,3,3.5,1,10,Professional,Referral,Germany,0,0.774886505785593,High,Escalate unresolved service issues
SP-01166,7,119.84,7,2,2,3.9,0,26,Basic,Referral,Germany,1,0.7740558196296614,High,Send re-engagement journey
SP-01653,4,54.67,12,2,2,4.5,1,31,Basic,Paid,Germany,0,0.7740467250766101,High,Send re-engagement journey
SP-01005,8,37.61,7,2,1,3.4,1,17,Basic,Organic,United Kingdom,1,0.7738432209650508,High,Proactive account-manager outreach
SP-01093,51,57.26,8,2,3,3.3,1,27,Professional,Paid,Portugal,1,0.7728679527753658,High,Escalate unresolved service issues
SP-01463,3,97.73,6,5,1,4.0,1,29,Basic,Paid,United Kingdom,0,0.7719963400620061,High,Send re-engagement journey
SP-01209,18,128.87,3,4,2,2.4,2,5,Basic,Organic,Germany,1,0.7719910257476825,High,Offer billing support or flexible payment plan
SP-01353,30,47.54,5,4,3,2.6,2,10,Enterprise,Organic,Germany,0,0.7716938352281449,High,Offer billing support or flexible payment plan
SP-00032,14,64.78,6,0,0,2.5,2,10,Basic,Paid,United Kingdom,1,0.7715321044288831,High,Offer billing support or flexible payment plan
SP-01756,20,113.56,6,4,2,3.2,1,23,Professional,Paid,Germany,0,0.7698592521132652,High,Send re-engagement journey
SP-00789,33,80.83,7,4,1,2.0,2,15,Professional,Paid,Germany,0,0.769594819660196,High,Offer billing support or flexible payment plan
SP-02475,7,79.88,8,3,6,4.6,3,4,Professional,Paid,Germany,1,0.7694193168478726,High,Offer billing support or flexible payment plan
SP-01928,8,54.64,2,7,2,3.2,1,12,Basic,Organic,Germany,1,0.7684239298393574,High,Proactive account-manager outreach
SP-00938,9,124.86,6,2,1,2.9,1,17,Professional,Referral,Germany,1,0.7684124474105867,High,Proactive account-manager outreach
SP-00883,27,65.16,6,2,3,4.1,1,24,Basic,Paid,Portugal,1,0.7675520315245369,High,Escalate unresolved service issues
SP-00415,2,60.92,6,4,3,4.5,1,22,Professional,Paid,Germany,0,0.7675214344369546,High,Escalate unresolved service issues
SP-00646,20,153.55,7,0,1,2.8,0,23,Basic,Organic,United Kingdom,1,0.7660560238509359,High,Send re-engagement journey
SP-02230,59,43.57,4,2,1,3.4,0,33,Basic,Organic,United Kingdom,0,0.7659776004258808,High,Send re-engagement journey
SP-01464,4,53.59,6,2,0,3.9,2,27,Enterprise,Organic,Germany,0,0.7655718978919436,High,Offer billing support or flexible payment plan
SP-02395,29,66.78,6,4,2,3.4,1,22,Professional,Referral,Germany,0,0.7649216560718773,High,Send re-engagement journey
SP-01187,9,47.18,8,6,1,3.4,1,24,Basic,Organic,Germany,1,0.764562232720483,High,Send re-engagement journey
SP-02020,28,74.14,9,2,4,3.4,1,16,Professional,Organic,Portugal,0,0.7639574086874211,High,Escalate unresolved service issues
SP-01663,12,50.47,8,2,0,4.3,1,36,Professional,Paid,Germany,0,0.763333652398875,High,Send re-engagement journey
SP-01527,20,39.44,7,3,2,4.5,0,32,Basic,Organic,Germany,1,0.7630631340831695,High,Send re-engagement journey
SP-01936,10,55.45,2,2,4,4.1,1,6,Basic,Referral,Portugal,0,0.7626019883998092,High,Escalate unresolved service issues
SP-02454,29,125.9,12,2,2,2.5,1,22,Professional,Organic,Germany,0,0.7625045398474696,High,Send re-engagement journey
SP-02138,2,53.34,4,0,0,2.6,1,6,Basic,Referral,Germany,1,0.7609067253441202,High,Proactive account-manager outreach
SP-00308,34,76.89,9,2,5,4.3,2,18,Basic,Paid,Portugal,0,0.7606715168527151,High,Offer billing support or flexible payment plan
SP-00699,4,118.02,6,2,2,3.8,0,24,Basic,Organic,Portugal,0,0.7603854395318919,High,Send re-engagement journey
SP-02169,57,79.08,9,4,3,2.0,1,16,Professional,Partner,United Kingdom,0,0.7602329252334519,High,Escalate unresolved service issues
SP-01112,14,41.84,11,2,2,4.2,1,26,Professional,Referral,United Kingdom,0,0.7593733885103026,High,Send re-engagement journey
SP-00424,35,44.92,8,4,1,3.5,0,37,Professional,Paid,Germany,0,0.7589820305242063,High,Send re-engagement journey
SP-01041,43,106.11,4,2,1,2.9,1,22,Basic,Referral,Germany,0,0.758322290003439,High,Send re-engagement journey
SP-01987,50,57.23,13,4,1,2.8,1,34,Professional,Partner,United Kingdom,0,0.7565228218249506,High,Send re-engagement journey
SP-01192,17,66.98,8,4,1,3.6,0,33,Professional,Paid,United Kingdom,1,0.7564198782592279,High,Send re-engagement journey
SP-00747,32,24.5,5,2,2,3.3,1,23,Enterprise,Paid,Germany,1,0.7547380792548857,High,Send re-engagement journey
SP-01799,29,107.18,10,3,1,4.8,0,59,Enterprise,Paid,Portugal,0,0.7542446946214219,High,Send re-engagement journey
